City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,San Policarpo,PH,80.1,overcast clouds,12.18,125.51,Zal-Ann Beach Resort
3,Jamestown,US,78.01,broken clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
8,Seoul,KR,78.8,few clouds,37.57,126.98,LOTTE HOTEL SEOUL
18,Butaritari,KI,82.35,overcast clouds,3.07,172.79,Isles Sunset Lodge
25,Vila Franca Do Campo,PT,75.2,few clouds,37.72,-25.43,Pestana Bahia Praia
27,Bengkulu,ID,75.51,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
46,Arraial Do Cabo,BR,75.2,clear sky,-22.97,-42.03,Pousada Porto Praia
50,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
51,Touros,BR,80.6,few clouds,-5.2,-35.46,INN NEW HORIZON
52,Erzin,TR,81.0,clear sky,36.96,36.2,Artemis Otel
54,Atuona,PF,77.61,light rain,-9.8,-139.03,Villa Enata
55,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
61,Puerto Ayora,EC,75.2,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
62,Port Said,EG,80.6,clear sky,31.26,32.28,Aracan Hotel
63,Kapaa,US,84.99,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
64,Bethel,US,84.0,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
66,Chodavaram,IN,82.4,mist,17.83,82.95,Ganesh Defence Academy chodavadaram hostel
69,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
70,Jacqueville,CI,77.0,few clouds,5.21,-4.41,Hotel Le Martin Pecheur
72,Conde,BR,78.8,few clouds,-7.26,-34.91,Pousada Beija Flor
75,Kazerun,IR,79.66,clear sky,29.62,51.65,آپارتمان بزرگ اویسا
76,Vilhena,BR,86.0,light rain,-12.74,-60.15,Hotel Mirage
78,Safaga,EG,89.6,clear sky,26.73,33.94,Lamar Resort Abu Soma
79,The Valley,AI,87.8,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
85,Cam Ranh,VN,84.2,few clouds,11.92,109.16,OYO 598 Peony Hotel
87,Arlit,NE,85.26,broken clouds,18.74,7.39,Hôtel Telwa Bungalow
90,Hilo,US,84.2,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
94,Hithadhoo,MV,81.75,overcast clouds,-0.6,73.08,Scoop Guest House
97,Tual,ID,79.18,few clouds,-5.67,132.75,Grand Vilia Hotel
102,Yangjiang,CN,78.69,broken clouds,21.85,111.97,HUALUXE Yangjiang City Center
104,Saint-Georges,GD,89.6,scattered clouds,12.06,-61.75,Siesta Hotel
105,Buala,SB,82.35,broken clouds,-8.14,159.59,Maringe Lagoon Lodge
107,Huejuquilla El Alto,MX,79.12,broken clouds,22.6,-103.87,Hotel Huexuquillan
108,Qiongshan,CN,77.0,mist,20.01,110.35,Sun City Restaurant
110,Sao Filipe,CV,79.5,moderate rain,14.9,-24.5,Tortuga B&B
111,Kirakira,SB,80.87,overcast clouds,-10.45,161.92,SanBiz Lodge
115,Galle,LK,81.14,light rain,6.04,80.22,CocoBay Unawatuna
118,Nusaybin,TR,82.92,clear sky,37.08,41.22,Aydinlar Hotel
128,Isangel,VU,75.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
