City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Deputatskiy,RU,69.3,139.9,36.91,89,90,2.57,overcast clouds
1,San Policarpo,PH,12.18,125.51,80.1,84,100,7.27,overcast clouds
2,Asau,RO,46.43,26.4,68.0,56,47,3.36,light rain
3,Jamestown,US,42.1,-79.24,78.01,78,75,10.29,broken clouds
4,Airai,TL,-8.93,125.41,56.35,91,49,4.07,scattered clouds
5,Bahia Blanca,AR,-38.72,-62.27,64.44,46,50,8.03,scattered clouds
6,Bluff,NZ,-46.6,168.33,45.0,72,83,11.01,broken clouds
7,Taoudenni,ML,22.68,-3.98,101.08,8,0,9.64,clear sky
8,Seoul,KR,37.57,126.98,78.8,100,20,1.48,few clouds
9,Nesna,NO,66.2,13.02,50.0,81,75,2.24,broken clouds
10,Albany,US,42.6,-73.97,75.0,59,53,1.01,broken clouds
11,Rikitea,PF,-23.12,-134.97,68.47,67,0,4.85,clear sky
12,Waingapu,ID,-9.66,120.26,73.22,75,0,10.98,clear sky
13,Paamiut,GL,61.99,-49.67,48.79,92,100,9.73,moderate rain
14,Port Alfred,ZA,-33.59,26.89,57.67,70,0,9.28,clear sky
15,Voh,NC,-20.97,164.7,68.4,83,100,7.43,overcast clouds
16,Lebu,CL,-37.62,-73.65,46.47,93,99,19.3,overcast clouds
17,Hwange,ZW,-18.37,26.5,67.23,36,0,1.36,clear sky
18,Butaritari,KI,3.07,172.79,82.35,73,100,15.61,overcast clouds
19,Cidreira,BR,-30.18,-50.21,65.34,80,55,5.73,moderate rain
20,Ushuaia,AR,-54.8,-68.3,33.8,80,75,20.8,snow
21,Payo,ID,-3.75,103.64,71.76,83,34,1.99,scattered clouds
22,Lavrentiya,RU,65.58,-171.0,48.58,78,90,2.08,overcast clouds
23,Colac,AU,-38.33,143.58,44.01,98,5,6.38,clear sky
24,Mount Isa,AU,-20.73,139.5,64.4,31,0,8.05,clear sky
25,Vila Franca Do Campo,PT,37.72,-25.43,75.2,88,20,13.87,few clouds
26,Kodiak,US,57.79,-152.41,62.6,51,1,9.17,clear sky
27,Bengkulu,ID,-3.8,102.27,75.51,85,99,6.06,overcast clouds
28,Qaanaaq,GL,77.48,-69.36,40.17,87,100,6.02,overcast clouds
29,Dikson,RU,73.51,80.55,49.03,79,68,7.58,broken clouds
30,Saldanha,ZA,-33.01,17.94,51.8,81,49,4.7,light rain
31,Punta Arenas,CL,-53.15,-70.92,32.0,89,40,38.03,scattered clouds
32,Saint George,US,37.1,-113.58,102.0,10,1,5.82,clear sky
33,Sakakah,SA,29.97,40.21,93.2,15,0,8.05,clear sky
34,Yellowknife,CA,62.46,-114.35,53.6,76,75,5.82,light intensity shower rain
35,Hermanus,ZA,-34.42,19.23,52.0,73,37,4.0,scattered clouds
36,Port Keats,AU,-14.25,129.55,66.67,55,0,9.78,clear sky
37,Kaeo,NZ,-35.1,173.78,45.0,3,9,5.37,clear sky
38,Sembe,CG,1.65,14.58,71.78,91,99,1.81,overcast clouds
39,Chokurdakh,RU,70.63,147.92,39.0,86,100,7.0,overcast clouds
40,Pisco,PE,-13.7,-76.22,66.2,72,20,9.17,few clouds
41,Mount Gambier,AU,-37.83,140.77,44.6,93,0,9.17,clear sky
42,Ust-Ilimsk,RU,58.0,102.66,53.13,90,100,0.85,overcast clouds
43,Tasiilaq,GL,65.61,-37.64,41.0,80,100,1.12,overcast clouds
44,Flin Flon,CA,54.77,-101.86,66.2,59,40,9.17,scattered clouds
45,Kostino,RU,58.91,53.27,58.1,97,100,5.08,light rain
46,Arraial Do Cabo,BR,-22.97,-42.03,75.2,83,0,16.11,clear sky
47,Hobart,AU,-42.88,147.33,53.6,58,75,16.11,broken clouds
48,Esperance,AU,-33.87,121.9,55.4,71,44,24.16,scattered clouds
49,Tumbagaan,PH,5.37,120.31,81.0,75,78,3.09,broken clouds
50,Vaini,TO,-21.2,-175.2,75.2,83,75,8.05,broken clouds
51,Touros,BR,-5.2,-35.46,80.6,69,20,11.41,few clouds
52,Erzin,TR,36.96,36.2,81.0,85,0,2.15,clear sky
53,Puerto Ayacucho,VE,5.66,-67.62,91.4,52,40,11.41,scattered clouds
54,Atuona,PF,-9.8,-139.03,77.61,81,72,23.47,light rain
55,Georgetown,MY,5.41,100.34,80.6,88,20,1.12,few clouds
56,Novokruchininskiy,RU,51.78,113.77,53.6,87,40,2.24,scattered clouds
